Species	Tissue	CellType	Marker	Resource
Human	Blood	Neutrophil	CEACAM8, FCGR3B, ITGAM, FCGR3A, FUT4, ELANE, MPO, CD14, CD33, CSF3R, CXCR2, ITGAX, LCN2, S100A8, S100A9, SELL, ANPEP, AZU1, C5AR1, CD177, CD3D, CD68, CD79A, CEACAM1, CEACAM16, CEACAM18, CEACAM19, CEACAM20, CEACAM21, CEACAM22P, CEACAM3, CEACAM4, CEACAM5, CEACAM6, CEACAM7, CEACAMP1, CEACAMP10, CEACAMP11, CEACAMP2, CEACAMP3, CEACAMP4, CEACAMP5, CEACAMP6, CEACAMP7, CEACAMP8, CEACAMP9, CTSG, CXCR1, DEFA3, DEFA4, FCGR1A, FCGR2A, FCGR2B, FCGR2C, FPR1, HLA-DR family, IL3RA, ITGA4, JAML, LYZ, MME, MMP8, NAMPT, PECAM1, PRTN3, RNASE2, SLC25A37, SPI1, TLR2	32214235, 32514174, 33159858, 34284174, 35007307, 35111153, 35186442, 33891889, 34691592, 32750333, 34529726, 33300011, Company, 25799053, 26970376, 16836616, 2319438, 19820230, 19708926, 15754803, 7689631, 31207323, 31043667
Human	Blood	Neutrophil progenitor cell	AZU1, CAMP, LCN2, LTF, MPO	35111153
Human	Blood	Non-classical monocyte	FCGR3A, FCGR3B, CD14, CX3CR1, CDKN1C, FCN1, LILRB1, LYZ, AIF1, APOBEC3A, ASAH1, BC013828, BIRC3, C1QA, C3AR1, CAMKK2, CD300C, CD33, CD83, CDH23, CEACAM8, CSF1R, CST3, CYTIP, EMR1, FBP1, FCER1G, FLI1, FUT4, HLA-DR family, ICAM2, IFITM1, IFITM3, IKZF1, IL3RA, ITGAM, ITGAX, KLF2, KLF3, LAIR2, LIPA, LST1, MTSS1, PLIN2, RASGEF1B, SIGLEC10, SLC44A2, TCF7L2, TSPAN14, TTYH3, XYLT1	33988272, 32377375, 35549406, 32302573, 32251406, 31675496, 35389779, 35111153, 34921959, 34824394, 25799053, 25729037, 28428369
Human	Blood	Plasma cell	MZB1, CD38, SDC1, CD19, CD27, IGHG1, IGHG2, IGKC, JCHAIN, PRDM1, XBP1, CD79A, CST3, FCER1A, GZMB, ICAM1, IgD family, IGHA1, IGHA2, IGHG3, IGHG4, IGHM, IRF4, ITGA4, KIT, LAIR1, LDHB, LY9, MKI67, NCAM1, SLAMF7, TCF4, TNFRSF17	32377375, 35092700, 35381424, 32214235, 31874628, 33593977, 35361683, 32783921, 34284174, 33567273, 32989127, 35389779, 35013299, 35140214, 34824394, 34691592, 33155517, 32788748, 23608739, 19728762, 26130131, 15512818, 10706444, 9827701, 9257888, 30279229
Human	Blood	Plasmablast	JCHAIN, MZB1, XBP1, CD38, IRF4, PRDM1, TNFRSF17, AQP3, CD19, CD27, CD40LG, IGHA1, IGHA2, IGHM, PPIB	35549406, 35761085, 33159858, 33593977, 32251406, 30545888, 35007307, 32750333, 32066974, 27780620, 28929596
Human	Blood	Plasmacytoid dendritic cell	IL3RA, CLEC4C, GZMB, IRF8, JCHAIN, LILRA4, CD4, ITGAX, NRP1, ADGRE1, AK128525, CCR7, CD1A, CD1B, CD1C, CD40, CD74, CD80, CD83, CD86, CD8A, FCER1A, HLA-DR family, HLA-DRA, HLA-DRB1, HLA-DRB3, HLA-DRB4, HLA-DRB5, IGJ, IRF7, ITGA4, ITGAM, ITM2C, MHC Class II, PDCD1LG2, PLD4, PTPRC, SERPINF1, SIRPA	32377375, 31874628, 32514174, 33159858, 32251406, 34284174, 35768150, 32989127, 32822091, 33021571, 33861994, 35007307, 34521850, 35766188, 31366174, 35799782, 33891889, 34824394, 31156637, 32788748, 32066974, 33300011, Company, 29105205, 20888334, 29361178, 28428369
Human	Blood	Plasmacytoid dendritic cell, human	IL3RA, LILRA4, PLD4	35549406
Human	Blood	Platelet	ITGA2B, PPBP, ITGB3, SELP, PF4, GP1BA, BSG, CAVIN2, CCL5, CCR3, CD109, CD14, CD151, CD226, CD36, CD40LG, CD46, CD47, CD48, CD63, CD69, CD84, CD8A, CD9, CSF3R, FCER1A, FCGR2A, FCGR2B, FCGR2C, ICAM2, ITGA2, ITGA6, ITGAV, ITGB1, JAM3, LAMP2, LRRC32, MPL, PDGFB, PEAR1, PECAM1, SPN, SRC, THBD, THPO, TNFSF14, TUBB1, VEGFA	35381424, 35260865, 32514174, 33159858, 35768150, 32822091, 32199615, 31610612, 33021571, 35111153, 35799782, Company, 27720831, 25251668, 21406422, 31207323, 31191831
Human	Blood	Pre-natural killer cell	ID2	29361178
Human	Blood	Preadipocyte	CFD	32620816
Human	Blood	Pro-B cell	DNTT, IGLL1, MME	35549406
Human	Blood	Progenitor cell	CD34, CD27, LDHB, SLAMF7, SPINK2	31874628, 33155517, 25269667
Human	Blood	Proliferating CD4-positive, alpha-beta T cell	MKI67, STMN1, TUBA1B	35831277
Human	Blood	Regulatory B cell	CD19, CD1D	24390063
Human	Blood	Regulatory T cell	IL2RA, FOXP3, CD4, TIGIT, CTLA4, IKZF2, IL7R, CD3E, CD3G, FCRL3, RTKN2, CD3D, ENTPD1, IKZF4, IL2RB, ITGA4, LAG3, LAIR2, TNFRSF18, TNFRSF4, BATF, CCR10, CCR4, CCR7, CD101, CD27, CD52, CMTM7, CYTOR, DUSP4, IL10, IL1RL1, ISG20, ITGA2, LRRC32, SMAD3, TGFB1	32580776, 32665635, 32377375, 35549406, 35017482, 32783915, 30016977, 31874628, 34907908, 33363531, 34284174, 35025971, 35831277, 35007307, 35909944, 34462337, 33338539, 32895621, 36136607, 33891889, 33155517, 33097590, 33300011, Company, 28777444, 24603196, 26049548, 23929911, 19957514, 16405818, 20487644, 21159825, 17349011, 25762785, 22982718, 23624599, 29230012, 29361178, 28622514
Human	Blood	Stem cell	CD34, CD44, NANOG	35092700, 32783921, 27865367
Human	Blood	Stromal cell	ACTA2, CNN1	35140214
Human	Blood	Suppressor macrophage	CD14, CD33, CEACAM8, FCGR3A, FCGR3B, FUT4, HLA-DR family, IL3RA, ITGAM, ITGAX	25799053
Human	Blood	T cell	CD3D, CD3E, CD3G, IL7R, CD8A, IL2RA, CCR7, CD2, CD4, MKI67, TRAC, CD27, CD8B, CTLA4, GNLY, NKG7, PDCD1, PTPRC, TRBC1, CCL20, CD28, CD5, CD7, PRF1, TRBC2, ACTB, AIF1, AP1S2, ATP2B1, B3GAT1, BCL2, BTLA, C15orf48, CADM1, CCL3, CCL5, CD101, CD247, CD36, CD6, CD69, CXCL1, CXCL2, CXCL3, CXCL5, CXCL8, CXCR4, CYBB, CYP1B1, DMP1, DPP4, DUSP1, DUSP6, EREG, FAS, FASLG, FCN1, FOS, FOXP3, FTH1, FTL, GNG4, GZMA, GZMH, H3-3B, HAVCR2, HMGB2, IER3, IL17A, IL17F, IL1B, IL1R1, IL22, IL26, IL3, ISG20, ITGB2, KLRB1, KLRD1, LDHB, LEF1, LPAR6, LRRC32, LST1, LTB, LYZ, MARCKS, MNDA, MPEG1, NAMPT, NCR3, PCLAF, PECAM1, PPBP, PSAP, PTGS2, S100A12, S100A8, S100A9, SELL, SERPINB2, SRGN, STMN1, TCF7, TIGIT, TNF, TNFRSF8, TNFSF8, TOP2A, TOX, TYMS, UCHL1, VCAN, ZBED2, ZFP36L2, ZNF683	32194545, 32907628, 32377375, 35549406, 35069597, 35092700, 32214235, 30016977, 31332193, 31874628, 30050112, 32518403, 33382972, 31574155, 34447367, 34907908, 35417717, 32251406, 33749664, 30595452, 32783921, 35768150, 33648458, 32989127, 32822091, 32199615, 31610612, 34521820, 33021571, 33861994, 34911739, 35909944, 36015226, 34521850, 35111153, 35501841, 35766188, 35013299, 35140214, 34341799, 33338539, 33870241, 34824394, 34691592, 33155517, 32788748, 32750333, 33097590, 32066974, Company, 24603196, 25799053, 25254006, 23688120, 12000723, 26453327, 21159825, 21149806, 16836616, 6386188, 1534551, 2175060, 1701954, 29230012, 31207323, 30867051, 30715093
Human	Blood	T follicular helper cell	CXCR5, BTLA, CD200, ICOS, IL21, PDCD1, POU2AF1	35549406, 33096020, 33097590
Human	Blood	T-helper 1 cell	IFNG, CD4, CSF2, CXCR3, TBX21, CCL3, CCL4, CCR6, CD3D, CD3E, CD3G, GZMB, IL2, IL3, SLAMF7, STAT1, STAT6, TNF	32580776, 33096020, 33155517, 33097590, 28777444, 20868565, 22982718
Human	Blood	T-helper 17 cell	CCR6, IL17A, CD4, RORC, CCL20, CD3D, CD3E, CD3G, CD8A, CSF2, CTSH, CXCR3, GATA3, IL17C, IL17F, IL17RA, IL22, IL23A, IL4I1, IL7R, MCAM, STAT3, ZBTB16	32580776, 32194545, 35549406, 33096020, 33155517, 28777444, 22486269, 20868565
Human	Blood	T-helper 2 cell	CD4, IL4, CCR4, CCR6, CD3D, CD3E, CD3G, CXCR4, PTGDR2	33338539, 33155517, 28777444, 20868565, 22982718
Human	Blood	Thyroid follicular cell	TG, TPO	35140214
Human	Blood	Transitional stage B cell	CD24, CD38, CD19, CD27, IgD family, MS4A1, MYO1C	35549406, 27780620, 28929596, 23608739
Human	Blood	Type 1 conventional dendritic cell	CLEC9A, CADM1, CD1C, XCR1, BATF3, CAMK2D, CD163, CD36, CLEC10A, HLA-DPA1, ITGAM, ITGAX, SIRPA, THBD	32377375, 35549406, 32989127, 33861994, 31366174, 34783307, 31156637
Human	Blood	Type 2 conventional dendritic cell	CD1C, CLEC10A, FCER1A, ADAM8, ITGAM, ITGAX, SIRPA	32377375, 35549406, 33861994, 31366174, 34783307
Human	Blood	Unswitched memory B cell	CD27, IgD family, CD19	27780620, 28929596, 23608739
