Species	Tissue	CellType	Marker	Resource
Human	Liver	Mast cell	CPA3, KIT, TPSB2, AIF1, CD79A, CST3, S100A9, TPSAB1, CLU, GATA2, HPGDS, IL7R, LTC4S	35549406, 35184420, 32976798, 31675496, 36108528, 35964553, 34355810, 35549310
Human	Liver	Mature B cell	CD37, CD79B, LTB, MS4A1	30348985
Human	Liver	Mature cholangiocyte	KRT19	32505533
Human	Liver	Mature natural killer cell	CD69, IFNG, KLRD1, NCAM1	33248023
Human	Liver	Mature NK T cell	CD3D, CD3E, CD3G, CX3CR1, FGFBP2, GNLY, KLRD1, KLRF1, NCAM1, TYROBP	34497364, 35361683, 33248023, 35964553, 29117436
Human	Liver	Megakaryocyte	CMTM5, ITGA2B, PF4	35549406
Human	Liver	Megakaryocyte-erythroid progenitor cell	FCER1A, GATA1, GATA2	35549406
Human	Liver	Memory B cell	CD27, ARPC1B, BLK, FAM30A	33248023, 35964553, 23901121
Human	Liver	Memory T cell	IL7R, CCR6, CD3D, CD3E, CD3G, CD40LG, GPR183, KLF2, PTPRC, S100A4	32426177, 35619708, 29117436
Human	Liver	Mesenchymal cell	ACTA2, COL1A1, TAGLN, ADAMTSL2, ALCAM, DLK1, ENG, FN1, IGFBP7, NGFR, PDGFRA, PTPRC, SMAD3, TFRC	34792289, 33332768, 32505533, 24238062, 28775779, 24831840, 21059294, 28614297, 31076630
Human	Liver	Mesenchymal stem cell	ITGB1, THY1, CD44, ENG, NT5E, ALCAM, CD34	19515222, 22564638, 16945998
Human	Liver	Midzonal region hepatocyte	APOC1, COX7C, FABP1, HINT1, MT1G, MT2A, NDUFB1	34792289, 35183972
Human	Liver	Monocyte	CD14, S100A9, S100A8, FCGR3A, FCGR3B, CD68, FCN1, LYZ, VCAN, CCL20, COTL1, LILRB1, LST1, S100A12, TPM2	33287869, 35549406, 35184420, 32214235, 34140495, 32351704, 35903097, 36108528, 35964553, 35619708, 27781378, 29117436, 28791439, 24757288, 23259611
Human	Liver	Mononuclear phagocyte	CD68, C1QC, CD14, CEBPB, CLEC9A, CSF1R, HMOX1, TYROBP	35549406, 35184420, 33411796, 34355810
Human	Liver	Mucosal invariant T cell	CD3D, CCR6, CD8A, IL23R, KLRB1, SLC4A10, TRAV1-2, CD3E, CD3G, CXCR6, EOMES, IL7R, NCR3, RORA, RORC, STAT4, TBX21, ZBTB16	35184420, 33248023, 31675496, 35619708, 28622514
Human	Liver	Myeloid suppressor cell	ITGAM, CD33, PTPRC	34140495, 35619708, 28939663
Human	Liver	Myofibroblast CAF	ACTA2, RGS5	35184420
Human	Liver	Myofibroblast cell	ACTA2, COL1A2, COL3A1, RBP1, VIM	34463757, 28348420, 24849310, 20725787, 17274978, 15780062, 10068108, 9251679, 2051901
Human	Liver	Naive B cell	CD19, IGHD	33248023
Human	Liver	Naive T cell	CCR7, CD3D, CD3E, CD3G, LEF1, S1PR1, SELL, TCF7, IL7R	31675496, 35619708
Human	Liver	Naive thymus-derived CD4-positive, alpha-beta T cell	CCR7, CD3D, CD4, LEF1, SELL	35184420, 33248023
Human	Liver	Naive thymus-derived CD8-positive, alpha-beta T cell	CCR7, CD3D, CD8A, CD8B, IL7R, LEF1, SELL	35184420, 33248023
Human	Liver	Natural killer cell	NKG7, GNLY, KLRF1, CD7, FCGR3A, GZMB, NCAM1, PRF1, CD160, CCL3, FGFBP2, GZMK, IL32, IL7R, KLRB1, KLRD1, MKI67, STMN1, TUBB, AREG, CCL4, CCL5, CD3D, CD3E, CD69, CD8A, CST7, CXCR4, DNAJB1, FCGR3B, HMGB2, HSPA1A, HSPA1B, HSPA6, PTPRC, TIGIT, XCL1, XCL2, ZNF331	34792289, 34497364, 33287869, 35549406, 35184420, 36460793, 34140495, 32351704, 34340996, 35361683, 32976798, 31675496, 35903097, 36108528, 36111491, 30348985, 34355810, 35619708, 35581624, 32505533, 27781378, 9537869, 9486591
Human	Liver	Neutrophil	S100A8, S100A9, CSF3R, CXCR2, DEFA3, DEFA4, ELANE, FCGR3B, MMP8, MPO, RNASE2, S100P	35184420, 32214235, 32561858, 33411796, 34355810
Human	Liver	Neutrophil progenitor cell	LYZ, MPO, SERPINB1	35549406
Human	Liver	Non-classical monocyte	C1QA, CX3CR1, FCGR3A	35549406, 33332768
Human	Liver	Periportal region hepatocyte	AGT, ALDOB, HAL, SDS, TSHZ2	34792289, 35183972
Human	Liver	Plasma cell	IGHG1, CD79A, IGHA1, IGKC, JCHAIN, MZB1, CD38, IGHA2, IGHG4, IGLC2, BIRC3, CD19, CD27, CD3D, CD40LG, GAPDH, H4C3, IGHG2, IGHG3, IGHM, IGLC3, MKI67, SDC1, TNFRSF17, TUBA1B	35183972, 32214235, 32351704, 35361683, 33248023, 31675496, 35903097, 36108528, 35964553, 30348985, 33411796
Human	Liver	Plasmablast	CD27, CD38, MKI67	33248023
Human	Liver	Plasmacytoid dendritic cell	CCR2, CLEC4C, ITGAE, LILRA4, NRP1	33248023
Human	Liver	Plasmacytoid dendritic cell, human	CCDC50, IL3RA, IRF7	35549406
Human	Liver	Platelet	GP1BA	26137266, 28651806
Human	Liver	Precursor B cell	CD19, MME, RAG1, RAG2	33248023
Human	Liver	Pro-B cell	MME, RAG1, RAG2, CD19, CD34, DNTT, IGLL1	35549406, 33248023
Human	Liver	Progenitor cell	KRT19, KRT7, NCAM1, PROM1, AFP, CD24, DLK1, EPCAM, NEUROG3	30272835, 32976798, 33968947, 34239074, 28783171, 26220754, 22879914, 22707408, 22692292, 21751216, 19842219, 19619253, 19490419, 16879391
Human	Liver	Proliferating CD8-positive, alpha-beta T cell	H4C3, HAVCR2, LAG3, MKI67, STMN1, TIGIT, TUBB	35964553, 32505533
Human	Liver	Regulatory T cell	FOXP3, IL2RA, CTLA4, CD3D, CD4, IL7R, TIGIT, TNFRSF18, BATF, CD3E, CD3G, CD7, ISG20, TNFRSF4	35184420, 34140495, 33248023, 32976798, 31675496, 35964553, 32426177, 35619708, 35581624, 32505533, 20730048, 16904870, 28622514
Human	Liver	Stem cell	EPCAM, PROM1, KRT19, CD44, KIT, LGR5, NCAM1, NES, POU5F1, THY1, ADAM17, AFP, ALDH family, ANPEP, CD34, DCLK1, DLK1, EGFR, GSTP1, ITGA6, KRT18, LIN28A, MSI1, NANOG, SOX2, SOX9, TACSTD2, UBD	33602855, 32505533, 28276299, 27012771, 25867583, 25656041, 25556695, 25218810, 22564638, 22530031, 22180200, 21953779, 21937640, 21826246, 20080086, 19874130, 19619253, 19181216, 16945998, 14722814
Human	Liver	Suppressor macrophage	CD68, CST3, LYZ, S100A8, S100A9, THBS1	31675496
Human	Liver	T cell	CD3D, CD3E, CD3G, CD8A, CD4, CD2, PTPRC, TRAC, CCL5, CD7, GZMK, IL7R, MKI67, NKG7, PRF1, STMN1, TRBC1, TRBC2, ADAM10, CCL20, CCL4, CCR6, CD244, CD27, CD28, CD40LG, CD58, CD8B, CMC1, FOSL2, GNLY, GPR35, GZMB, HMGB2, IL15RA, IL18R1, IL23R, IL2RA, IL32, KCNQ1OT1, KLRB1, KLRD1, KLRG1, LAG3, LCP1, LINC00504, MAB21L3, PCNA, PDCD1, PIWIL1, PTGDS, RORC, RUNX2, SLC4A10, TOP2A, TRA, TRB, TRDC, TYMS, UGDH-AS1, ZEB2	34792289, 34497364, 33287869, 35184420, 32214235, 36460793, 34140495, 33619115, 32351704, 31675496, 35964553, 36111491, 30348985, 33332768, 35697807, 35738508, 34355810, 35619708, 35581624, 32505533, 29117436, 24056784, 24148617, 22863037, 20955462, 20056076, 17444855, 14571725, 12663233, 11857339, 11558462, 10827150, 7539656
Human	Liver	T follicular helper cell	CXCL13, PDCD1	32426177
Human	Liver	T-helper 1 cell	CD3D, CD4, CXCR3, GADD45B, IFNG, STAT4, TBX21, TNF	35184420, 33248023
Human	Liver	T-helper 17 cell	CCR6, CD3D, CD4, EOMES, IFNG, IL23R, RORA, STAT4	33248023
Human	Liver	T1 B cell	CD19, CD24, CD38	33248023
Human	Liver	T2 B cell	CD19, CD24, CD38, IGHD	33248023
Human	Liver	Tissue-resident CD8-positive, alpha-beta memory T cell	CD3D, CD69, CD8A, CD8B, GZMA, GZMM, IFNG, ITGAE	33248023
Human	Liver	Tissue-resident memory T cell	CCR2, CD3D, CD3E, CD3G, CISH, GNLY, HOPX, IFIT2, IL16, IL32, ITGAE, KLRD1, KLRF1, TXNIP	31675496, 35738508
Human	Liver	Tumor-associated macrophage	APOC1, C1QC, CD163, C1QA, CCL14, CCL5, CD14, DNAJB1, FABP1, FCN2, FCN3, SELENOP	33619115, 36108528
Human	Liver	Type 1 conventional dendritic cell	CLEC9A, BATF3, CADM1, THBD, XCR1	35549406, 33248023, 33332768
Human	Liver	Type 2 conventional dendritic cell	CD1C, CLEC10A, FCER1A	35549406, 33248023, 33332768
