,meanAbundance,Variance,select,prevalence,prevalence_0,prevalence_1,featureID
12799,0.030642483,0.019294526,No selected,0.07869012028088716,0.06434510531042674,0.42242276987157235,LRR1
12800,1.1300644,0.37969172,No selected,0.8871028297295418,0.882869310774401,0.988545643873655,RPL36AL
12801,0.08421962,0.05402309,No selected,0.18079677396926927,0.1701770142248747,0.43526553280111074,MGAT2
12802,0.0030699682,0.0026851965,No selected,0.006563303900438017,0.006257786018483646,0.013884068031933356,RP11-649E7.5
12803,0.060820773,0.0356102,No selected,0.15229089897796008,0.1374974650172379,0.5067684831655676,DNAAF2
12804,0.011593477,0.0052341763,No selected,0.04323159285267329,0.03336037314946259,0.2797639708434571,POLE2
12805,0.006277748,0.004292442,No selected,0.014378085239518876,0.014123475388938784,0.020479000347101702,KLHDC1
12806,0.13802303,0.082901984,No selected,0.25879162900646596,0.24531390329402902,0.5817424505380077,KLHDC2
12807,0.1257511,0.08643852,No selected,0.23249669749009247,0.2185444853260712,0.5668170774036793,NEMF
12808,0.0017180134,0.0015872767,No selected,0.002683723840645206,0.0025349827621172177,0.006247830614370011,RP11-596C23.6
12809,0.02883092,0.02763589,No selected,0.04567892651046374,0.04381898774516905,0.09024644220756682,RP11-596C23.2
12810,0.46600658,0.31337726,No selected,0.5548633803796148,0.5469913376017614,0.7434918431100312,ARF6
12811,0.0281012,0.025689216,No selected,0.04533129388861851,0.044268041834458385,0.07080874696286012,LINC01588
12812,0.041901454,0.035016462,No selected,0.07706319961065146,0.07189211113364428,0.20097188476223535,VCPKMT
12813,0.027604971,0.021024527,No selected,0.053354654800806506,0.05184401888924298,0.08955223880597014,SOS2
12814,0.010716521,0.00612752,No selected,0.03591740248904957,0.03004316713503491,0.17667476570635196,L2HGDH
12815,0.050879,0.032834128,No selected,0.12072585691441284,0.11033693542312484,0.3696633113502256,ATP5S
12816,0.0009134436,0.0006922222,No selected,0.0020440798164499756,0.0018686444360749776,0.006247830614370011,RP11-247L20.4
12817,0.0040214714,0.0026985917,No selected,0.010568031704095112,0.008300257843960946,0.06490801804928845,CDKL1
12818,0.04046999,0.028441457,No selected,0.08669957588820135,0.08054002375640988,0.2342936480388754,MAP4K5
12819,0.005284263,0.0036302074,No selected,0.013488145727595078,0.012254830952863806,0.04304061089899341,ATL1
12820,0.043268584,0.029186733,No selected,0.09755961899464646,0.0916649766781586,0.23880597014925373,SAV1
12821,0.056926183,0.043954562,No selected,0.1023708544809845,0.09899469826462323,0.1832696980215203,NIN
12822,0.06231598,0.03547383,No selected,0.15284711117291247,0.13885911290088943,0.48802499132245747,PYGL
12823,0.17442776,0.106171995,No selected,0.3112841549050963,0.2921603847379552,0.7695244706699063,TMX1
12824,0.00020335012,0.000115776194,No selected,0.0006118334144476117,0.0006083958629081322,0.0006942034015966678,LINC00640
12825,0.006344216,0.0035427508,No selected,0.018744350969895015,0.016586030072138366,0.07046164526206178,FRMD6
