names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000139644,193.53862,3.6825638,0.0,0.0
ENSG00000182578,193.44832,5.689059,0.0,0.0
ENSG00000139318,193.3129,6.933783,0.0,0.0
ENSG00000135390,193.28888,5.351218,0.0,0.0
ENSG00000015285,193.1412,3.4102957,0.0,0.0
ENSG00000163162,192.83337,3.6873603,0.0,0.0
ENSG00000101265,192.74292,4.100747,0.0,0.0
ENSG00000154589,192.41669,4.4116945,0.0,0.0
ENSG00000128524,191.99385,3.4934654,0.0,0.0
ENSG00000074800,191.59569,3.9051268,0.0,0.0
ENSG00000162711,191.23338,8.023496,0.0,0.0
ENSG00000109046,191.14682,3.6595798,0.0,0.0
ENSG00000134250,191.08478,4.077538,0.0,0.0
ENSG00000135404,190.86191,4.3119164,0.0,0.0
ENSG00000126860,190.80193,3.7711253,0.0,0.0
ENSG00000118640,190.657,3.8764682,0.0,0.0
ENSG00000072401,190.45802,4.360015,0.0,0.0
ENSG00000111669,190.21814,3.4084654,0.0,0.0
ENSG00000111679,190.18106,3.5174284,0.0,0.0
ENSG00000165025,190.03271,3.7024884,0.0,0.0
ENSG00000170909,190.0048,5.679793,0.0,0.0
ENSG00000007237,189.90627,4.9119997,0.0,0.0
ENSG00000168264,189.55672,4.0371656,0.0,0.0
ENSG00000198938,189.32922,58.004467,0.0,0.0
ENSG00000182117,189.19696,3.4577975,0.0,0.0
ENSG00000150540,188.82034,5.8233824,0.0,0.0
ENSG00000126267,188.67497,4.0826535,0.0,0.0
ENSG00000147416,188.46521,4.3185463,0.0,0.0
ENSG00000057608,188.44229,3.37003,0.0,0.0
ENSG00000198840,188.18628,46.09498,0.0,0.0
ENSG00000087266,188.09235,3.9734037,0.0,0.0
ENSG00000196576,187.77347,5.284159,0.0,0.0
ENSG00000005893,187.60904,3.5978522,0.0,0.0
ENSG00000068697,187.53604,3.239822,0.0,0.0
ENSG00000156675,187.34274,3.5661194,0.0,0.0
