names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000162244,79.709404,37.562584,0.0,0.0
ENSG00000189043,79.630066,7.5095425,0.0,0.0
ENSG00000173457,79.585045,10.49422,0.0,0.0
ENSG00000042753,79.42988,7.1221695,0.0,0.0
ENSG00000083845,79.31512,26.08693,0.0,0.0
ENSG00000147403,79.26776,91.38619,0.0,0.0
ENSG00000075624,79.227646,110.65295,0.0,0.0
ENSG00000113648,79.219406,8.264278,0.0,0.0
ENSG00000205581,79.21302,7.3002872,0.0,0.0
ENSG00000130429,79.15816,11.406322,0.0,0.0
ENSG00000137818,79.08423,100.167786,0.0,0.0
ENSG00000241468,78.92451,5.9886074,0.0,0.0
ENSG00000115268,78.90609,49.035133,0.0,0.0
ENSG00000231500,78.78898,85.16808,0.0,0.0
ENSG00000198034,78.61434,50.360104,0.0,0.0
ENSG00000136238,78.517586,9.655978,0.0,0.0
ENSG00000164587,78.40576,63.802048,0.0,0.0
ENSG00000100129,78.286835,6.823517,0.0,0.0
ENSG00000089248,78.10988,7.0813107,0.0,0.0
ENSG00000163466,78.038475,13.857358,0.0,0.0
ENSG00000233927,77.94693,50.62899,0.0,0.0
ENSG00000163682,77.810005,39.81385,0.0,0.0
ENSG00000254999,77.764786,5.3040986,0.0,0.0
ENSG00000232112,77.731964,8.180848,0.0,0.0
ENSG00000105372,77.72734,54.17049,0.0,0.0
ENSG00000142541,77.71938,60.263573,0.0,0.0
ENSG00000100316,77.57086,44.406017,0.0,0.0
ENSG00000104870,77.43724,7.936262,0.0,0.0
ENSG00000229117,77.36285,87.4552,0.0,0.0
ENSG00000112335,77.29062,6.666787,0.0,0.0
ENSG00000135486,77.174934,11.654611,0.0,0.0
ENSG00000030582,77.117004,9.515944,0.0,0.0
ENSG00000198918,77.0933,53.82721,0.0,0.0
ENSG00000174021,77.07025,6.3774505,0.0,0.0
ENSG00000108518,77.03266,17.80963,0.0,0.0
ENSG00000182899,76.967896,38.620872,0.0,0.0
ENSG00000135390,76.943886,11.052889,0.0,0.0
ENSG00000130592,76.9025,8.336777,0.0,0.0
ENSG00000108107,76.88972,68.92899,0.0,0.0
ENSG00000169100,76.854355,14.35956,0.0,0.0
ENSG00000166598,76.82986,9.294576,0.0,0.0
ENSG00000178982,76.80169,9.570674,0.0,0.0
ENSG00000188243,76.70797,7.535548,0.0,0.0
ENSG00000110955,76.61633,5.3939714,0.0,0.0
ENSG00000118680,76.56455,6.8009925,0.0,0.0
ENSG00000197958,76.55474,43.249092,0.0,0.0
ENSG00000178741,76.437744,5.1047006,0.0,0.0
ENSG00000163041,76.35676,26.303371,0.0,0.0
ENSG00000057608,76.3489,6.313897,0.0,0.0
ENSG00000143933,76.33206,11.552716,0.0,0.0
ENSG00000092964,76.226814,4.818828,0.0,0.0
ENSG00000137154,76.031624,51.363457,0.0,0.0
ENSG00000114942,76.00961,21.233315,0.0,0.0
ENSG00000155368,76.00611,5.926728,0.0,0.0
ENSG00000132334,75.855446,6.989845,0.0,0.0
ENSG00000152234,75.80281,5.3464155,0.0,0.0
ENSG00000137161,75.54647,4.8781767,0.0,0.0
ENSG00000198242,75.5068,36.79454,0.0,0.0
ENSG00000034510,75.41555,104.53867,0.0,0.0
ENSG00000133112,75.40328,67.970634,0.0,0.0
ENSG00000111275,75.38049,6.346102,0.0,0.0
ENSG00000153310,75.13083,5.2385035,0.0,0.0
ENSG00000179583,75.117516,5.74237,0.0,0.0
ENSG00000176340,74.93894,6.253918,0.0,0.0
ENSG00000108953,74.64736,5.4700212,0.0,0.0
ENSG00000177600,74.562096,44.42855,0.0,0.0
ENSG00000189403,74.50116,10.463999,0.0,0.0
ENSG00000198856,74.48234,4.3330626,0.0,0.0
ENSG00000134419,74.407394,44.90004,0.0,0.0
ENSG00000142864,74.19717,6.3776097,0.0,0.0
ENSG00000161016,74.11577,39.940193,0.0,0.0
ENSG00000165629,73.65519,4.622047,0.0,0.0
ENSG00000173812,73.598145,22.774935,0.0,0.0
ENSG00000126267,73.551865,6.469258,0.0,0.0
ENSG00000164919,73.49093,5.758978,0.0,0.0
ENSG00000171858,73.38728,27.517849,0.0,0.0
ENSG00000122026,73.3669,49.016434,0.0,0.0
ENSG00000081189,73.345505,5.1187263,0.0,0.0
ENSG00000144713,73.19587,56.56148,0.0,0.0
ENSG00000111843,73.11772,4.548243,0.0,0.0
ENSG00000187109,73.11768,11.244899,0.0,0.0
ENSG00000122566,73.10416,10.350816,0.0,0.0
ENSG00000008988,73.05444,27.07088,0.0,0.0
ENSG00000150991,73.03029,12.61865,0.0,0.0
ENSG00000197111,73.00575,6.216095,0.0,0.0
ENSG00000124614,72.941986,16.860308,0.0,0.0
ENSG00000100823,72.93715,4.5730395,0.0,0.0
ENSG00000175390,72.84799,5.788528,0.0,0.0
