gene_ids,feature_is_filtered,feature_name,feature_reference,feature_biotype
ENSG00000236528,False,RP1-125I3.2,NCBITaxon:9606,gene
ENSG00000182749,False,PAQR7,NCBITaxon:9606,gene
ENSG00000117632,False,STMN1,NCBITaxon:9606,gene
ENSG00000158006,False,PAFAH2,NCBITaxon:9606,gene
ENSG00000175087,False,PDIK1L,NCBITaxon:9606,gene
ENSG00000142684,False,ZNF593,NCBITaxon:9606,gene
ENSG00000142675,False,CNKSR1,NCBITaxon:9606,gene
ENSG00000130695,False,CEP85,NCBITaxon:9606,gene
ENSG00000142669,False,SH3BGRL3,NCBITaxon:9606,gene
ENSG00000158062,False,UBXN11,NCBITaxon:9606,gene
ENSG00000169442,False,CD52,NCBITaxon:9606,gene
ENSG00000176092,False,CRYBG2,NCBITaxon:9606,gene
ENSG00000176083,False,ZNF683,NCBITaxon:9606,gene
ENSG00000117682,False,DHDDS,NCBITaxon:9606,gene
ENSG00000198830,False,HMGN2,NCBITaxon:9606,gene
ENSG00000117676,False,RPS6KA1,NCBITaxon:9606,gene
ENSG00000260063,False,RP5-968P14.2,NCBITaxon:9606,gene
ENSG00000117713,False,ARID1A,NCBITaxon:9606,gene
ENSG00000060642,False,PIGV,NCBITaxon:9606,gene
ENSG00000204160,False,ZDHHC18,NCBITaxon:9606,gene
ENSG00000175793,False,SFN,NCBITaxon:9606,gene
ENSG00000142751,False,GPN2,NCBITaxon:9606,gene
ENSG00000198746,False,GPATCH3,NCBITaxon:9606,gene
ENSG00000090273,False,NUDC,NCBITaxon:9606,gene
ENSG00000175707,False,KDF1,NCBITaxon:9606,gene
ENSG00000253368,False,TRNP1,NCBITaxon:9606,gene
ENSG00000090020,False,SLC9A1,NCBITaxon:9606,gene
ENSG00000142784,False,WDTC1,NCBITaxon:9606,gene
ENSG00000186501,False,TMEM222,NCBITaxon:9606,gene
ENSG00000142765,False,SYTL1,NCBITaxon:9606,gene
ENSG00000142733,False,MAP3K6,NCBITaxon:9606,gene
ENSG00000158195,False,WASF2,NCBITaxon:9606,gene
ENSG00000237429,False,RP1-159A19.4,NCBITaxon:9606,gene
ENSG00000126705,False,AHDC1,NCBITaxon:9606,gene
ENSG00000000938,False,FGR,NCBITaxon:9606,gene
ENSG00000126709,False,IFI6,NCBITaxon:9606,gene
ENSG00000009780,False,FAM76A,NCBITaxon:9606,gene
ENSG00000117758,False,STX12,NCBITaxon:9606,gene
ENSG00000117751,False,PPP1R8,NCBITaxon:9606,gene
ENSG00000130775,False,THEMIS2,NCBITaxon:9606,gene
ENSG00000117748,False,RPA2,NCBITaxon:9606,gene
ENSG00000158156,False,XKR8,NCBITaxon:9606,gene
ENSG00000158161,False,EYA3,NCBITaxon:9606,gene
ENSG00000169403,False,PTAFR,NCBITaxon:9606,gene
ENSG00000126698,False,DNAJC8,NCBITaxon:9606,gene
ENSG00000130770,False,ATP5IF1,NCBITaxon:9606,gene
ENSG00000270605,False,RP5-1092A3.4,NCBITaxon:9606,gene
ENSG00000130766,False,SESN2,NCBITaxon:9606,gene
ENSG00000130772,False,MED18,NCBITaxon:9606,gene
ENSG00000204138,False,PHACTR4,NCBITaxon:9606,gene
ENSG00000180198,False,RCC1,NCBITaxon:9606,gene
ENSG00000180098,False,TRNAU1AP,NCBITaxon:9606,gene
ENSG00000197989,False,SNHG12,NCBITaxon:9606,gene
ENSG00000120656,False,TAF12,NCBITaxon:9606,gene
ENSG00000229388,False,LINC01715,NCBITaxon:9606,gene
ENSG00000270103,False,RNU11_ENSG00000270103,NCBITaxon:9606,gene
ENSG00000162419,False,GMEB1,NCBITaxon:9606,gene
ENSG00000198492,False,YTHDF2,NCBITaxon:9606,gene
ENSG00000159023,False,EPB41,NCBITaxon:9606,gene
ENSG00000116350,False,SRSF4,NCBITaxon:9606,gene
ENSG00000116353,False,MECR,NCBITaxon:9606,gene
ENSG00000186056,False,MATN1-AS1,NCBITaxon:9606,gene
ENSG00000162511,False,LAPTM5,NCBITaxon:9606,gene
ENSG00000162512,False,SDC3,NCBITaxon:9606,gene
ENSG00000134644,False,PUM1,NCBITaxon:9606,gene
ENSG00000060688,False,SNRNP40,NCBITaxon:9606,gene
ENSG00000121766,False,ZCCHC17,NCBITaxon:9606,gene
ENSG00000121769,False,FABP3,NCBITaxon:9606,gene
ENSG00000168528,False,SERINC2,NCBITaxon:9606,gene
ENSG00000162517,False,PEF1,NCBITaxon:9606,gene
ENSG00000264078,False,RP11-73M7.9,NCBITaxon:9606,gene
ENSG00000121753,False,ADGRB2,NCBITaxon:9606,gene
ENSG00000134668,False,SPOCD1,NCBITaxon:9606,gene
ENSG00000203620,False,RP11-84A19.2,NCBITaxon:9606,gene
ENSG00000269967,False,RP11-84A19.4,NCBITaxon:9606,gene
ENSG00000184007,False,PTP4A2,NCBITaxon:9606,gene
ENSG00000121774,False,KHDRBS1,NCBITaxon:9606,gene
ENSG00000203325,False,RP11-277A4.4,NCBITaxon:9606,gene
ENSG00000121775,False,TMEM39B,NCBITaxon:9606,gene
ENSG00000025800,False,KPNA6,NCBITaxon:9606,gene
ENSG00000084652,False,TXLNA,NCBITaxon:9606,gene
ENSG00000160050,False,CCDC28B,NCBITaxon:9606,gene
ENSG00000224066,False,RP4-622L5.7,NCBITaxon:9606,gene
ENSG00000160051,False,IQCC,NCBITaxon:9606,gene
ENSG00000160055,False,TMEM234,NCBITaxon:9606,gene
ENSG00000084623,False,EIF3I,NCBITaxon:9606,gene
ENSG00000183615,False,FAM167B,NCBITaxon:9606,gene
ENSG00000182866,False,LCK,NCBITaxon:9606,gene
ENSG00000116478,False,HDAC1,NCBITaxon:9606,gene
ENSG00000175130,False,MARCKSL1,NCBITaxon:9606,gene
ENSG00000162526,False,TSSK3,NCBITaxon:9606,gene
ENSG00000225828,False,FAM229A,NCBITaxon:9606,gene
ENSG00000160058,False,BSDC1,NCBITaxon:9606,gene
ENSG00000160062,False,ZBTB8A,NCBITaxon:9606,gene
ENSG00000176261,False,ZBTB8OS,NCBITaxon:9606,gene
ENSG00000162521,False,RBBP4,NCBITaxon:9606,gene
ENSG00000162520,False,SYNC,NCBITaxon:9606,gene
ENSG00000162522,False,KIAA1522,NCBITaxon:9606,gene
ENSG00000134684,False,YARS1,NCBITaxon:9606,gene
ENSG00000116497,False,S100PBP,NCBITaxon:9606,gene
ENSG00000116514,False,RNF19B,NCBITaxon:9606,gene
ENSG00000004455,False,AK2,NCBITaxon:9606,gene
ENSG00000142920,False,AZIN2,NCBITaxon:9606,gene
ENSG00000116525,False,TRIM62,NCBITaxon:9606,gene
ENSG00000160094,False,ZNF362,NCBITaxon:9606,gene
ENSG00000134686,False,PHC2,NCBITaxon:9606,gene
ENSG00000121903,False,ZSCAN20,NCBITaxon:9606,gene
ENSG00000163866,False,SMIM12,NCBITaxon:9606,gene
ENSG00000116544,False,DLGAP3,NCBITaxon:9606,gene
ENSG00000284773,False,RP11-244H3.5,NCBITaxon:9606,gene
ENSG00000271741,False,RP11-244H3.4,NCBITaxon:9606,gene
ENSG00000163867,False,ZMYM6,NCBITaxon:9606,gene
ENSG00000197056,False,ZMYM1,NCBITaxon:9606,gene
ENSG00000116560,False,SFPQ,NCBITaxon:9606,gene
ENSG00000146463,False,ZMYM4,NCBITaxon:9606,gene
ENSG00000142687,False,KIAA0319L,NCBITaxon:9606,gene
ENSG00000020129,False,NCDN,NCBITaxon:9606,gene
ENSG00000239636,False,TFAP2E-AS1,NCBITaxon:9606,gene
ENSG00000116819,False,TFAP2E,NCBITaxon:9606,gene
ENSG00000126067,False,PSMB2,NCBITaxon:9606,gene
ENSG00000142686,False,C1orf216,NCBITaxon:9606,gene
ENSG00000092853,False,CLSPN,NCBITaxon:9606,gene
ENSG00000134698,False,AGO4,NCBITaxon:9606,gene
ENSG00000092847,False,AGO1,NCBITaxon:9606,gene
ENSG00000271914,False,RP4-789D17.5,NCBITaxon:9606,gene
ENSG00000126070,False,AGO3,NCBITaxon:9606,gene
ENSG00000116863,False,ADPRS,NCBITaxon:9606,gene
ENSG00000171812,False,COL8A2,NCBITaxon:9606,gene
ENSG00000054116,False,TRAPPC3,NCBITaxon:9606,gene
ENSG00000116871,False,MAP7D1,NCBITaxon:9606,gene
ENSG00000054118,False,THRAP3,NCBITaxon:9606,gene
ENSG00000214193,False,SH3D21,NCBITaxon:9606,gene
ENSG00000142694,False,EVA1B,NCBITaxon:9606,gene
ENSG00000196182,False,STK40,NCBITaxon:9606,gene
ENSG00000181817,False,LSM10,NCBITaxon:9606,gene
ENSG00000116885,False,OSCP1,NCBITaxon:9606,gene
ENSG00000116898,False,MRPS15,NCBITaxon:9606,gene
ENSG00000119535,False,CSF3R,NCBITaxon:9606,gene
ENSG00000233621,False,LINC01137,NCBITaxon:9606,gene
ENSG00000163874,False,ZC3H12A,NCBITaxon:9606,gene
ENSG00000163875,False,MEAF6,NCBITaxon:9606,gene
ENSG00000163877,False,SNIP1,NCBITaxon:9606,gene
ENSG00000134697,False,GNL2,NCBITaxon:9606,gene
ENSG00000116922,False,C1orf109,NCBITaxon:9606,gene
ENSG00000134690,False,CDCA8,NCBITaxon:9606,gene
ENSG00000185090,False,MANEAL,NCBITaxon:9606,gene
ENSG00000196449,False,YRDC,NCBITaxon:9606,gene
ENSG00000197982,False,C1orf122,NCBITaxon:9606,gene
ENSG00000188786,False,MTF1,NCBITaxon:9606,gene
ENSG00000204084,False,INPP5B,NCBITaxon:9606,gene
ENSG00000183431,False,SF3A3,NCBITaxon:9606,gene
ENSG00000183386,False,FHL3,NCBITaxon:9606,gene
ENSG00000183520,False,UTP11,NCBITaxon:9606,gene
